Order,gamma=0.80,gamma=0.85,gamma=0.90,gamma=0.95
0.0000000000000000e+00,1.5850209668853466e-35,-3.1604794571689257e-34,-5.4686109804473114e-34,3.3479877785940459e-34
1.0000000000000000e+00,-1.7751904555406176e-32,5.6086801265765539e-31,9.7855844861571582e-31,-6.0017708585888857e-31
2.0000000000000000e+00,4.0527492578545425e-30,-4.6003434417780038e-28,-8.0481577143997787e-28,4.9254062395946597e-28
3.0000000000000000e+00,4.3441662066272290e-27,2.3147384708836687e-25,4.0340724409276435e-25,-2.4500664226070330e-25
4.0000000000000000e+00,-4.1075327084172866e-24,-7.9968224634140713e-23,-1.3778718734721970e-22,8.2424084303889019e-23
5.0000000000000000e+00,1.7923579241385526e-21,2.0115053192657453e-20,3.3973686627815703e-20,-1.9804967901397203e-20
6.0000000000000000e+00,-5.0279347392615165e-19,-3.8115662443882905e-18,-6.2510326101613443e-18,3.4970651460603443e-18
7.0000000000000000e+00,9.9657724890902871e-17,5.5521535358751637e-16,8.7530857734085695e-16,-4.5937446337897682e-16
8.0000000000000000e+00,-1.4547455773284691e-14,-6.2874995323476558e-14,-9.4314459682408332e-14,4.4842043961789363e-14
9.0000000000000000e+00,1.5957026051541113e-12,5.5604472863786337e-12,7.8593645202716998e-12,-3.1987535010801152e-12
1.0000000000000000e+01,-1.3263516627352571e-10,-3.8355572292899488e-10,-5.0664981630743424e-10,1.5947091646858911e-10
1.1000000000000000e+01,8.3566485983178344e-09,2.0498630072921849e-08,2.5164997069133423e-08,-4.8983990630087908e-09
1.2000000000000000e+01,-3.9641411023674689e-07,-8.3817592726895255e-07,-9.5479411773398443e-07,4.2964396094613164e-08
1.3000000000000000e+01,1.3958235049727872e-05,2.5712244817879884e-05,2.7272023397035024e-05,3.5779802712372421e-06
1.4000000000000000e+01,-3.5619572324144889e-04,-5.7483654925727086e-04,-5.7293794130493594e-04,-1.8591289100253357e-04
1.5000000000000000e+01,6.3393508971250909e-03,8.9732674264952419e-03,8.5338888759147937e-03,4.4346108551981990e-03
1.6000000000000000e+01,-7.4036602545545255e-02,-9.1763103708679225e-02,-8.5153313689556281e-02,-5.9586704324988207e-02
1.7000000000000000e+01,7.8376322781257390e-01,8.2732016970169731e-01,7.8968222132787858e-01,7.1156874716993346e-01
